Client ID,Life Science,Human Body,Plants and Microbiology,Biotechnology,Genetics,Motion,Energy,Electricity,Modern Physics,Atoms,Chemical Reactions,Organic and Inorganic Chemistry,Thermodynamics & Kinetics,Acids and Bases,Ecology,Climate change,Pollution & Waste Management,Sustainability,Problem-Solving Techniques,Mathematical Reasoning & IQ Tests,"Arithmetic (Fractions, Decimals, Ratios, Percentages)",Word based problems,Algebra & Linear Equations,Trigonometry,Calculus,Differential Equations,Discrete Mathematics,Data Analysis,Basic Statistics,Probability,Computer Operations & MS Office,C,C++,Scratch,Python,JAVA,Backend,Full-Stack Development (Frontend & Backend),"Databases (SQL, NoSQL) & APIs",Mobile App Development,Object-Oriented Programming,Web Development,Data Structures & Algorithms,AI & Machine Learning,Cybersecurity & Ethical Hacking,History,Geography,Civics & Political Science,Psychology & Sociology,Economics,Communication & Soft Skills,Entrepreneurship
1,4,5,0,4,4,0,4,4,5,4,2,0,0,0,0,1,1,0,0,2,0,1,1,0,2,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
2,0,2,0,2,0,0,0,1,2,0,4,5,5,5,4,4,4,4,5,2,1,0,0,1,0,0,2,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
3,2,1,1,0,0,2,0,0,0,0,0,2,2,0,2,1,0,0,0,0,1,1,0,0,2,0,0,0,0,2,4,4,4,4,5,4,4,4,4,0,4,4,4,0,4,0,0,0,0,0,0,0
4,0,2,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,4,4,0,0,4,4,4,4,0,4,0,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2
5,5,4,4,0,4,0,1,1,1,1,0,1,0,2,1,0,1,0,0,2,1,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,1,0,0,2,1,1,2,1,0,0
6,2,1,1,0,0,1,1,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,1,2,0,2,2,0,0,0,0,2,0,2,0,0,0,1,0,0,2,1,2,5,4,4,5,4,4,4
7,0,1,2,0,2,1,0,1,2,2,1,1,0,2,0,0,4,4,1,0,0,0,0,0,1,2,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0
8,0,0,0,0,0,1,0,2,0,1,4,4,4,4,4,0,5,5,5,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
9,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,5,1,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
10,0,0,0,0,2,1,1,2,0,2,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,2,0,1,1,0,5,5,5,5,4,4,0,4,4,4,5,4,4,4,4,0,0,2,1,0,1,2
